ProjectNumber,SampleNumber,ContinentalRiverBasinCode,RiverBasinCode,RiverSubBasinCode,StationTypeCode,StationNumber,Station,LatitudeDecimalDegrees,LongitudeDecimalDegrees,SampleMatrixCode,SampleTypeCode,CollectionCode,QCSampleFlag,SampleComment,SampleDateTime,VmvCode,VariableCode,VariableName,MeasurementFlag,MeasurementValue,UnitCode,SampleDetectLimit,MeasurementComment,MeasurementQualifier,MeasurementQualifierDescription,MeasurementQualifierComment,MethodCode,MethodDetectionLimit,LabCode
ABS001,87AB000240,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,07/07/1987 10:00:00,10401,749,RESIDUE NONFILTERABLE,,15,mg/L,,,,,,396,10,0
ABS001,87AB000240,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,07/07/1987 10:00:00,10451,745,RESIDUE FILTERABLE,,155,mg/L,,,,,,404,10,0
ABS001,87AB000241,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,08/04/1987 09:45:00,10401,749,RESIDUE NONFILTERABLE,,2,mg/L,,,,,,396,10,0
ABS001,87AB000241,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,08/04/1987 09:45:00,10451,745,RESIDUE FILTERABLE,,170,mg/L,,,,,,404,10,0
ABS001,87AB000242,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,09/08/1987 09:45:00,10401,749,RESIDUE NONFILTERABLE,,2.8,mg/L,,,,,,396,10,0
ABS001,87AB000242,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,09/08/1987 09:45:00,10451,745,RESIDUE FILTERABLE,,180,mg/L,,,,,,404,10,0
ABS001,87AB000243,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,10/06/1987 09:45:00,10401,749,RESIDUE NONFILTERABLE,,3.2,mg/L,,,,,,396,10,0
ABS001,87AB000243,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,10/06/1987 09:45:00,10451,745,RESIDUE FILTERABLE,,210,mg/L,,,,,,404,10,0
ABS001,87AB000244,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,11/11/1987 09:30:00,10401,749,RESIDUE NONFILTERABLE,,2,mg/L,,,,,,396,10,0
ABS001,87AB000244,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,11/11/1987 09:30:00,10451,745,RESIDUE FILTERABLE,,220,mg/L,,,,,,404,10,0
ABS001,87AB000245,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,12/08/1987 09:30:00,10401,749,RESIDUE NONFILTERABLE,,6,mg/L,,,,,,396,10,0
ABS001,87AB000245,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,12/08/1987 09:30:00,10451,745,RESIDUE FILTERABLE,,220,mg/L,,,,,,404,10,0
ABS001,88AB000897,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,01/05/1988 10:00:00,10401,749,RESIDUE NONFILTERABLE,,66,mg/L,,,,,,396,10,0
ABS001,88AB000897,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,01/05/1988 10:00:00,10451,745,RESIDUE FILTERABLE,,270,mg/L,,,,,,404,10,0
ABS001,88AB000898,SAS,BOW,05BM,0,AB05BM0590,"BOW RIVER, AT CLUNY",50.77313,-112.84547,0,1,,N,,02/09/1988 16:30:00,10401,749,RESIDUE NONFILTERABLE,,1.6,mg/L,,,,,,396,10,0
